station,distance,elevation
3+900,300,-4.191013813
3+900,325,-4.413151264
3+900,350,-4.63415432
3+900,375,-4.770731926
3+900,400,-4.902263641
4+000,0,-0.011352
4+000,25,-0.111352384
4+000,50,-1.83237946
4+000,75,-1.660358429
4+000,100,-1.637971401
4+000,125,-2.06172204
4+000,150,-2.491318941
4+000,175,-2.914515018
4+000,200,-3.306819201
4+000,225,-3.542900085
4+000,250,-3.772567749
4+000,275,-3.994399548
4+000,300,-4.219714642
4+000,325,-4.438570023
4+000,350,-4.66388464
4+000,375,-4.863082409
4+000,400,-4.938171387
4+100,0,1.548367
4+100,25,1.448366523
4+100,50,-1.168350458
4+100,75,-1.125890493
4+100,100,-1.406176686
4+100,125,-1.896019101
4+100,150,-2.48602581
4+100,175,-3.087425232
4+100,200,-3.658738136
4+100,225,-3.964554071
4+100,250,-4.097582817
4+100,275,-4.217978001
4+100,300,-4.351006985
4+100,325,-4.446680069
4+100,350,-4.573069096
4+100,375,-4.655006409
4+100,400,-4.819259644
4+200,0,1.615797
4+200,25,1.515797138
4+200,50,-1.585048556
4+200,75,-2.002335548
4+200,100,-1.778823137
4+200,125,-2.147006035
4+200,150,-2.497073412
4+200,175,-2.893158674
4+200,200,-3.320621014
4+200,225,-3.539438963
4+200,250,-3.718397379
4+200,275,-3.953402519
4+200,300,-4.122020721
4+200,325,-4.244731426
4+200,350,-4.367441654
4+200,375,-4.490065098
4+200,400,-4.612775803
4+300,0,2.071019
4+300,25,1.97101903
4+300,50,-0.598867178
4+300,75,-1.399999976
4+300,100,-1.756809592
4+300,125,-2.20258522
4+300,150,-2.675121546
4+300,175,-3.148417711
4+300,200,-3.599999905
4+300,225,-3.652588129
4+300,250,-3.862252951
4+300,275,-3.907620192
4+300,300,-4.042503834
4+300,325,-4.166379929
4+300,350,-4.274210453
4+300,375,-4.382531166
4+300,400,-4.490851402
4+400,0,-0.723062
4+400,25,-0.823062062
4+400,50,-1.380308986
4+400,75,-2.50451088
4+400,100,-2.995424032
4+400,125,-3.065598726
4+400,150,-3.276429653
4+400,175,-3.2820189
4+400,200,-3.220032692
4+400,225,-3.214780331
4+400,250,-3.257049084
4+400,275,-3.333365679
4+400,300,-3.505434275
4+400,325,-3.677503109
4+400,350,-3.849571943
4+400,375,-4.021640778
4+400,400,-4.193709373
4+500,0,1.337337
4+500,25,1.237337112
4+500,50,-0.979555845
4+500,75,-1.414209366
4+500,100,-1.833003998
4+500,125,-2.140651703
4+500,150,-2.400831461
4+500,175,-2.607933521
4+500,200,-2.815035582
4+500,225,-3.02213788
4+500,250,-3.229239941
4+500,275,-3.436342239
4+500,300,-3.6434443
4+500,325,-3.82251668
4+500,350,-3.975031376
4+500,375,-4.12754631
4+500,400,-4.280061245
4+600,0,-0.275944
4+600,25,-0.375943899
4+600,50,-0.868956745
4+600,75,-1.075741887
4+600,100,-1.046047091
4+600,125,-1.052171111
4+600,150,-1.582792878
4+600,175,-1.938304782
4+600,200,-2.267193079
4+600,225,-2.583493471
4+600,250,-2.884898186
4+600,275,-3.19384861
4+600,300,-3.49214673
4+600,325,-3.683181763
4+600,350,-3.819633484
4+600,375,-3.951962471
4+600,400,-4.082534313
4+700,0,0.993768
4+700,25,0.893767834
4+700,50,0.53654319
4+700,75,0.671687901
4+700,100,-0.12418893
4+700,125,-0.942605376
4+700,150,-1.131698251
4+700,175,-1.624115109
4+700,200,-1.917076588
4+700,225,-2.232130766
4+700,250,-2.502135038
4+700,275,-2.765847683
4+700,300,-2.991677046
4+700,325,-3.159580231
4+700,350,-3.311967373
4+700,375,-3.464354753
4+700,400,-3.622686148
4+800,0,0.932664
4+800,25,0.832664371
4+800,50,0.342173219
4+800,75,-0.002437635
4+800,100,0.271331906
4+800,125,-0.358489633
4+800,150,-0.572156549
4+800,175,-1.336520672
4+800,200,-1.926534176
4+800,225,-2.303015709
4+800,250,-2.491740942
4+800,275,-2.571129084
4+800,300,-2.752994061
4+800,325,-2.94250536
4+800,350,-3.123969078
4+800,375,-3.305432558
4+800,400,-3.494943857
4+900,0,1.544242
4+900,25,1.444241881
4+900,50,1.0260849
4+900,75,0.599318564
4+900,100,0.071074016
4+900,125,0.384809405
4+900,150,0.291335523
4+900,175,-0.934861064
4+900,200,-1.015129805
4+900,225,-2.158222198
4+900,250,-2.328236103
4+900,275,-2.465686083
4+900,300,-2.661639452
4+900,325,-2.857191801
4+900,350,-3.053145409
4+900,375,-3.249098778
4+900,400,-3.445052385
5+000,0,1.445578
5+000,25,1.345578194
5+000,50,0.153592795
5+000,75,-0.248679906
5+000,100,-1.045326829
5+000,125,-0.682965636
5+000,150,-0.795006692
5+000,175,-0.774605751
5+000,200,-1.365204573
5+000,225,-2.177480936
5+000,250,-2.291024685
5+000,275,-2.493019104
5+000,300,-2.695013523
5+000,325,-2.897007942
5+000,350,-3.0990026
5+000,375,-3.300997019
5+000,400,-3.502991438
5+100,0,1.412341
5+100,25,1.312340736
5+100,50,0.721293926
5+100,75,0.101266399
5+100,100,-0.544121563
5+100,125,-1.295311093
5+100,150,-1.060700297
5+100,175,-0.657410562
5+100,200,-1.041217923
5+100,225,-1.652265191
5+100,250,-1.898162007
5+100,275,-2.175141335
5+100,300,-2.452120781
5+100,325,-2.729100227
5+100,350,-3.006079674
5+100,375,-3.265955448
5+100,400,-3.466745853
5+200,0,1.377202
5+200,25,1.357243896
5+200,50,1.310031891
5+200,75,-0.422657788
5+200,100,-0.772835612
5+200,125,-0.839765012
